,Produto,Total_Receitas_2018Q1,Total_Receitas_2018Q2,Total_Receitas_2018Q3,Total_Receitas_2018Q4,Total_Receitas_2019Q1,Total_Receitas_2019Q2,Total_Receitas_2019Q3,Total_Receitas_2019Q4,Total_Receitas_2020Q1,Total_Receitas_2020Q2,Total_Receitas_2020Q3,Total_Receitas_2020Q4,Total_Receitas_2021Q1,Total_Receitas_2021Q2,Total_Receitas_2021Q3,Total_Receitas_2021Q4,Total_Receitas_2022Q1,Total_Receitas_2022Q2,Total_Receitas_2022Q3,Total_Receitas_2022Q4,Total_Unidades_Vendidas_2018Q1,Total_Unidades_Vendidas_2018Q2,Total_Unidades_Vendidas_2018Q3,Total_Unidades_Vendidas_2018Q4,Total_Unidades_Vendidas_2019Q1,Total_Unidades_Vendidas_2019Q2,Total_Unidades_Vendidas_2019Q3,Total_Unidades_Vendidas_2019Q4,Total_Unidades_Vendidas_2020Q1,Total_Unidades_Vendidas_2020Q2,Total_Unidades_Vendidas_2020Q3,Total_Unidades_Vendidas_2020Q4,Total_Unidades_Vendidas_2021Q1,Total_Unidades_Vendidas_2021Q2,Total_Unidades_Vendidas_2021Q3,Total_Unidades_Vendidas_2021Q4,Total_Unidades_Vendidas_2022Q1,Total_Unidades_Vendidas_2022Q2,Total_Unidades_Vendidas_2022Q3,Total_Unidades_Vendidas_2022Q4,Nome_Produto,Unidade_Produto,Referencia_Produto,DataUltimaAtualizacao_Produto,NomeMarca_Produto,Complemento_Produto,Classificacao11_Produto,Classificacao12_Produto,Classificacao13_Produto,Classificacao14_Produto,Classificacao15_Produto,Nome_Class_11_Produto,Nome_Class_12_Produto,Nome_Class_13_Produto,Nome_Class_14_Produto,Nome_Class_15_Produto
910,319899,77.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROLA MOCA 6104 AZ,UN,6104,2018-02-01 00:00:00,ROLA MOCA,AZ,3,2,1,3,48,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,CALÇA LEGGING
911,319900,55.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,44.25925925925926,0.0,44.25925925925926,44.25925925925926,0.0,0.0,0.0,0.0,44.25925925925926,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,ROLA MOCA 6105 AZ,UN,6105,2020-09-02 00:00:00,ROLA MOCA,AZ,3,2,1,3,48,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,CALÇA LEGGING
912,319901,0.0,0.0,55.18518518518518,16.64814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROLA MOCA 5104 AZ,UN,5104,2018-11-12 00:00:00,ROLA MOCA,AZ,3,2,1,3,245,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,CALÇA CALÇA
913,319903,169.62962962962962,70.0,27.59259259259259,27.59259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROLA MOCA 6105 PTO,UN,6105,2020-09-02 00:00:00,ROLA MOCA,PTO,3,2,1,3,48,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,CALÇA LEGGING
914,319905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.44444444444444,0.0,15.72222222222222,31.44444444444444,0.0,0.0,0.0,0.0,15.72222222222222,15.72222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ROLA MOCA 27101 PTO,UN,27101,2019-12-11 00:00:00,ROLA MOCA,PTO,3,2,1,3,135,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,PEÇA DE AMARRAÇÃO
915,319912,0.0,16.64814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROLA MOCA 04102 PTO,UN,04102,2017-09-28 00:00:00,ROLA MOCA,PTO,3,2,1,3,201,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,TOP
916,319914,0.0,0.0,0.0,0.0,0.0,0.0,14.777777777777777,22.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROLA MOCA 34102 AZ,UN,34102,2019-08-29 00:00:00,ROLA MOCA,AZ,3,2,1,3,200,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,TOALHA
917,320122,0.0,0.0,81.1111111111111,0.0,40.55555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PENALTY MG5500 521169 BCO/LJ/V,UN,MG5500 521169,2016-10-31 00:00:00,PENALTY,BCO/LJ/VDE,2,2,3,3,259,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BOLA DE VOLLEYBAL
918,320124,0.0,0.0,73.7037037037037,0.0,0.0,73.7037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PENALTY MG4500 521170 BC/LJ/VD,UN,MG4500 521170,2016-07-16 00:00:00,PENALTY,BC/LJ/VDE,2,2,3,3,259,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BOLA DE VOLLEYBAL
919,320132,0.0,13.87037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PENALTY MATIS50 520185 BC/PT/L,UN,MATIS50,2015-10-03 00:00:00,PENALTY,520185 BC/PT/LJ,2,2,3,3,27,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BOLA DE FUTSAL
